1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2003-01-06","8710","8790","8710","8760","130760","8760"
"2003-01-07","8840","8860","8650","8650","155770","8650"
"2003-01-08","8620","8630","8520","8550","123210","8550"
"2003-01-09","8480","8560","8440","8550","106490","8550"
"2003-01-10","8600","8600","8410","8460","173480","8460"
"2003-01-14","8500","8600","8480","8600","48860","8600"
"2003-01-15","8560","8640","8490","8610","117800","8610"
"2003-01-16","8610","8640","8570","8610","79590","8610"
"2003-01-17","8570","8770","8570","8710","203650","8710"
"2003-01-20","8650","8680","8520","8550","169360","8550"
"2003-01-21","8550","8780","8550","8740","133850","8740"
"2003-01-22","8730","8740","8590","8620","104660","8620"
"2003-01-23","8670","8840","8590","8790","219390","8790"
"2003-01-24","8820","8850","8720","8770","130150","8770"
"2003-01-27","8650","8720","8620","8630","154880","8630"
"2003-01-28","8550","8610","8530","8550","112190","8550"
"2003-01-29","8560","8570","8340","8380","360690","8380"
"2003-01-30","8380","8440","8330","8330","211530","8330"
"2003-01-31","8350","8370","8270","8360","165310","8360"
"2003-02-03","8330","8540","8270","8500","149570","8500"
"2003-02-04","8580","8620","8480","8480","106320","8480"
"2003-02-05","8430","8600","8430","8590","87450","8590"
"2003-02-06","8600","8630","8480","8510","91530","8510"
"2003-02-07","8510","8550","8450","8520","92270","8520"
"2003-02-10","8490","8530","8460","8510","40670","8510"
"2003-02-12","8530","8710","8530","8670","201420","8670"
"2003-02-13","8670","8710","8580","8640","182500","8640"
"2003-02-14","8600","8800","8600","8730","224910","8730"
"2003-02-17","8780","8850","8770","8770","234330","8770"
"2003-02-18","8810","8810","8700","8730","248560","8730"
"2003-02-19","8810","8810","8650","8670","166160","8670"
"2003-02-20","8650","8680","8610","8680","132300","8680"
"2003-02-21","8660","8720","8540","8560","178890","8560"
"2003-02-24","8590","8640","8530","8600","152880","8600"
"2003-02-25","8520","8520","8360","8380","372390","8380"
"2003-02-26","8380","8460","8360","8390","141960","8390"
"2003-02-27","8370","8420","8310","8400","152610","8400"
"2003-02-28","8470","8480","8370","8390","131130","8390"
"2003-03-03","8420","8560","8390","8560","132600","8560"
"2003-03-04","8480","8540","8460","8490","132590","8490"
"2003-03-05","8440","8530","8400","8500","53260","8500"
"2003-03-06","8490","8540","8380","8390","90070","8390"
